,PC1,PC2,PC3,PC4,PC5,PC6
CH4,0.0005007176911950401,0.004601950004947002,-0.01946498746121224,0.7071855980075474,0.003334194374406983,-0.0039041148344430682
NOX,-1.132511212243672e-05,0.00026400369916816126,0.6164247116522091,0.0016074910451316295,-0.004334467034207593,-0.0002582060662186198
NO,-0.05292608999257306,0.003283929497715758,0.5373565187510186,-0.01869205375043483,0.08800525726705931,0.028652101568789775
NO2,0.044774352912273364,-0.00241538233867341,0.5716776074119222,0.018612891307691802,-0.08164175699393486,-0.02508464268715643
SO2,0.000959172045155376,0.00018794081600045302,-0.0027661537828767273,0.002647289156800974,0.989089507882291,-0.0019206065208522407
H2S,-0.0008134934316599291,-0.0049469111369608455,0.02253223699006471,0.7033772484257332,0.003889642054394398,0.003789161630376048
Benzene,0.0077701662805225585,0.571535509997004,0.0038554226949684654,-0.011497444113829169,-0.0073720385567257836,-0.018178259988828084
Toluene,0.00044207334606524717,4.899310958077696e-06,-0.0003065350571352209,-6.081116438457772e-05,-0.0018368679887174975,0.9988635980498024
Ethylbenzene,-0.008316261475634287,0.5800267287231721,-0.00935676256783803,0.0204046583961882,0.010184587800506097,0.005870242506359586
m&p-Xylene,0.0011760543850414433,0.5802431377703635,0.006270158295433008,-0.009852027285589059,-0.00219248496455801,0.011521625961193754
PM1 FIDAS,0.4378604000171018,0.006822730451409732,-0.02450394632369098,0.04103849434470524,-0.03455631185454552,0.014551143675267709
PM2.5 FIDAS,0.45492561397966347,0.004377738852671982,-0.019125703489957648,0.014821337360208905,-0.024739183025882343,0.004224575832740146
PM4 FIDAS,0.4592671094518005,0.001944769907031697,-0.011910518155350523,-0.0007114946011690737,-0.01352570218140919,-0.003396907509655694
PM10 FIDAS,0.4524842341508428,-0.004550798886615254,0.02016613410275683,-0.021079108415263732,0.026340260761006387,-0.0052844621492559715
TSP FIDAS,0.42510449930744293,-0.009026434437427507,0.043616846414761365,-0.03806939799559507,0.06631316728863317,-0.004612040493823172
